Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Jon Barry,,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Leandro Barbosa,90.0,8.2,5.5,5.0,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.4,
Raymond Felton,88.3,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2,,,
Guy Rodgers,87.9,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,,
John Salmons,87.8,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,
Larry Hughes,85.5,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,
Gerald Henderson,85.3,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,
Mo Williams,84.6,9.8,6.7,4.5,3.2,2.8,2.5,2.2,2.2,2.1,1.8,1.1,1.0,0.2,
Thabo Sefolosha,83.7,6.8,4.5,4.1,4.0,3.0,2.5,2.2,1.8,1.5,0.8,,,,
Raja Bell,83.4,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,,
Tony Allen,83.4,5.1,4.7,4.2,4.1,2.7,2.7,2.7,2.4,1.9,1.9,1.7,1.6,,
