Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,31,SAC,NBA,SG,7,55,15%,70%,15%,,,2.9,2.9,1,1,1,1,,1,0,9,0,0,1
2001-02,32,DET,NBA,SG,10,177,,99%,1%,,,-1.0,-1.3,9,8,2,5,,0,0,49,1,0,3
2002-03,33,DET,NBA,SG,14,172,12%,87%,1%,,,-5.6,-8.0,5,2,0,5,,0,0,46,3,0,0
2003-04,34,DEN,NBA,SG,5,100,,87%,13%,,,-6.9,-3.9,2,2,0,1,,0,0,21,2,1,3
2004-05,35,HOU,NBA,SG,7,183,,48%,52%,,,4.3,15.9,4,2,0,9,,0,0,18,3,0,1
