Player,Sim,1,2,3,4,5,6
Jackie Butler,,1.2,0.1,0.1,,,
Dwayne Jones,94.0,1.2,0.1,0.1,0.0,0.0,
Stephen Howard,87.7,1.3,0.2,0.1,0.0,,
Brian Evans,79.5,1.5,0.1,0.1,,,
Winston Bennett,78.7,1.1,0.3,0.2,,,
Kenny Dennard,75.3,1.1,0.3,0.1,,,
Mark Pope,74.5,1.3,0.1,0.0,0.0,-0.1,-0.1
Michael Young,73.5,1.1,0.0,0.0,,,
Ivano Newbill,72.2,1.1,0.1,-0.1,,,
Qyntel Woods,71.4,1.3,0.2,0.0,-0.2,,
Perry Jones,71.1,1.5,0.2,0.0,,,
