Player,Sim,1,2,3,4,5,6,7,8,9,10
Timofey Mozgov,,5.7,4.5,3.7,1.1,0.7,0.6,,,,
Bismack Biyombo,86.6,5.9,4.0,3.2,1.4,0.6,,,,,
Nikola Pekovic,77.9,6.7,5.9,4.5,1.2,0.6,-0.1,,,,
Rick Robey,77.8,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,,
JaVale McGee,77.7,5.3,4.9,4.1,2.1,2.0,1.1,0.4,-0.1,,
Noble Jorgensen,74.2,4.8,3.8,3.6,1.8,-0.5,,,,,
Bill McGill,74.1,7.1,4.6,3.1,2.2,-0.1,,,,,
Randy Denton,74.1,5.5,4.3,3.9,3.1,3.0,0.4,,,,
Tim McCormick,74.1,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,
Bob Houbregs,73.3,6.9,4.5,2.8,0.2,,,,,,
Dan Gadzuric,72.9,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0
