Player,Sim,1,2,3,4,5,6,7,8,9,10
Malik Allen,,1.1,1.0,1.0,1.0,0.9,0.7,0.5,0.3,0.2,0.1
Brian Scalabrine,74.7,1.7,1.4,1.1,1.0,0.9,0.6,0.3,0.2,0.1,-0.1
Greg Foster,74.3,1.3,1.0,1.0,0.6,0.6,0.5,0.2,0.1,0.1,0.0
John Wallace,68.0,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,,
Scott Hastings,67.1,2.1,1.5,1.3,1.0,0.8,0.5,0.4,0.3,0.3,0.1
Marc Iavaroni,66.8,1.7,1.5,1.4,1.1,1.0,0.7,0.6,,,
Darvin Ham,62.3,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,,
Major Jones,61.9,1.3,1.3,1.2,0.9,0.7,0.1,,,,
Jim Ard,60.2,1.0,1.0,0.9,0.8,0.6,0.4,-0.1,-0.4,,
Joe Ellis,60.1,1.3,1.3,1.1,1.0,0.5,0.4,-0.2,-0.3,,
Anthony Randolph,54.7,1.6,1.5,1.1,0.6,0.5,0.5,,,,
