Steals Per Game
2011-12 NBA 1.6 (9th)
2012-13 NBA 1.8 (8th)
2013-14 NBA 1.9 (5th)
2015-16 NBA 1.9 (9th)
Active 1.7 (9th)
Career NBA 1.7 (49th)
Career 1.7 (52nd)
