Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,132,1557,.297,18.4,.508,.149,.051,.077,.231,.492,.346,.441,.217,.286,.333,.246,.488,.004,2,.782,.219,.286,1,0
5 seasons,,DET,NBA,,90,1112,.312,17.3,.549,.205,.052,.052,.240,.451,.343,.444,.313,.188,.297,.273,.414,.006,2,.789,.245,.353,1,0
1 season,,LAL,NBA,,18,132,.311,21.8,.356,.022,.000,.111,.222,.644,.375,.000,,.200,.500,.276,.833,.000,0,.875,.241,.286,0,0
1 season,,MIL,NBA,,18,289,.242,20.2,.465,.040,.071,.141,.212,.535,.348,.500,.000,.429,.381,.151,.625,.000,0,.625,.151,.000,0,0
1 season,,CHI,NBA,,6,24,.333,24.7,.000,.000,.000,.000,.000,1.000,,,,,,.333,,.000,0,1.000,.000,,0,0
