Value Over Replacement Player
2005-06 NBA 5.7 (9th)
2007-08 NBA 8.5 (2nd)
2008-09 NBA 10.0 (2nd)
2010-11 NBA 6.1 (2nd)
2011-12 NBA 5.4 (2nd)
2012-13 NBA 5.6 (5th)
2013-14 NBA 5.2 (8th)
2014-15 NBA 6.9 (4th)
2015-16 NBA 6.0 (8th)
Active 69.8 (2nd)
Career NBA 69.8 (16th)
Career 69.8 (17th)
