MVP Award Shares
2007-08 NBA 0.706 (2)
2008-09 NBA 0.159 (5)
2010-11 NBA 0.002 (13)
2011-12 NBA 0.318 (3)
2012-13 NBA 0.239 (4)
2013-14 NBA 0.036 (7)
2014-15 NBA 0.095 (6)
2015-16 NBA 0.082 (6)
Active 1.636 (5)
Career 1.636 (25)
