Player Efficiency Rating
2007-08 NBA 28.3 (2nd)
2008-09 NBA 30.0 (3rd)
2009-10 NBA 23.7 (7th)
2010-11 NBA 23.7 (6th)
2011-12 NBA 27.0 (2nd)
2012-13 NBA 26.4 (3rd)
2013-14 NBA 25.9 (6th)
2014-15 NBA 26.0 (5th)
2015-16 NBA 26.2 (5th)
2016-17 NBA 27.3 (7th)
Active 25.7 (2nd)
Career NBA 25.7 (6th)
Career 25.7 (6th)
