Assists Per Game
2005-06 NBA 7.8 (7th)
2006-07 NBA 8.9 (4th)
2007-08 NBA 11.6 (1st)
2008-09 NBA 11.0 (1st)
2009-10 NBA 10.7 (2nd)
2010-11 NBA 9.8 (4th)
2011-12 NBA 9.1 (3rd)
2012-13 NBA 9.7 (2nd)
2013-14 NBA 10.7 (1st)
2014-15 NBA 10.2 (1st)
2015-16 NBA 10.0 (4th)
2016-17 NBA 9.7 (4th)
Active 9.9 (1st)
Career NBA 9.9 (3rd)
Career 9.9 (3rd)
