Offensive Box Plus/Minus
2007-08 NBA 8.3 (2nd)
2008-09 NBA 9.1 (2nd)
2009-10 NBA 5.2 (4th)
2010-11 NBA 5.4 (3rd)
2011-12 NBA 8.0 (2nd)
2012-13 NBA 7.2 (2nd)
2013-14 NBA 6.8 (5th)
2014-15 NBA 7.5 (3rd)
2015-16 NBA 7.3 (3rd)
2016-17 NBA 8.3 (4th)
Active 6.9 (2nd)
Career NBA 6.9 (3rd)
Career 6.9 (3rd)
