Steals Per Game
2005-06 NBA 2.2 (3rd)
2007-08 NBA 2.7 (1st)
2008-09 NBA 2.8 (1st)
2010-11 NBA 2.4 (1st)
2011-12 NBA 2.5 (1st)
2012-13 NBA 2.4 (1st)
2013-14 NBA 2.5 (1st)
2014-15 NBA 1.9 (5th)
2015-16 NBA 2.1 (3rd)
2016-17 NBA 2.2 (1st)
Active 2.3 (1st)
Career NBA 2.3 (5th)
Career 2.3 (6th)
