Steals
2005-06 NBA 175 (1st)
2007-08 NBA 217 (1st)
2008-09 NBA 216 (1st)
2010-11 NBA 188 (1st)
2011-12 NBA 152 (1st)
2012-13 NBA 169 (2nd)
2013-14 NBA 154 (3rd)
2014-15 NBA 156 (2nd)
2015-16 NBA 152 (6th)
Active 1873 (1st)
Career NBA 1873 (15th)
Career 1873 (16th)
