Offensive Win Shares
2007-08 NBA 13.2 (1st)
2008-09 NBA 13.3 (2nd)
2010-11 NBA 9.5 (3rd)
2011-12 NBA 10.4 (1st)
2012-13 NBA 10.6 (3rd)
2013-14 NBA 9.0 (6th)
2014-15 NBA 12.9 (1st)
2015-16 NBA 9.2 (6th)
2016-17 NBA 4.8 (10th)
Active 111.7 (3rd)
Career NBA 111.7 (17th)
Career 111.7 (18th)
