Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chris Paul,,18.3,17.8,16.1,13.9,13.9,12.7,12.7,12.2,10.4,8.8,7.3
Jerry West,93.9,17.1,16.7,15.2,14.0,12.9,12.8,11.7,10.8,9.6,8.1,6.6
Magic Johnson,92.7,16.5,16.1,15.9,12.9,12.7,12.5,12.1,10.9,10.5,10.2,6.4
Oscar Robertson,86.4,20.6,17.4,17.0,16.9,16.8,15.6,13.2,12.9,12.4,12.3,11.4
John Stockton,85.4,15.6,14.4,14.1,14.0,13.9,13.4,13.2,10.6,6.7,5.9,3.1
Walt Frazier,79.1,15.6,15.0,14.5,13.0,12.7,10.9,10.8,6.8,6.1,4.6,3.5
Reggie Miller,76.7,12.5,12.3,12.1,12.0,11.7,11.4,11.3,11.0,10.3,6.5,4.2
Kobe Bryant,76.0,15.3,14.9,13.0,12.7,11.3,10.7,10.6,8.1,6.3,5.2,1.8
Dwyane Wade,71.8,14.7,14.4,13.0,12.8,11.0,9.6,8.8,7.7,5.5,4.6,3.3
Michael Jordan,70.7,21.2,20.4,20.3,19.8,19.0,17.7,17.2,16.9,14.0,2.3,1.5
Gary Payton,70.5,13.9,12.9,12.5,11.7,11.5,10.8,9.3,7.8,7.2,3.9,3.4
