Offensive Win Shares
2009-10 NBA 11.1 (2nd)
2010-11 NBA 8.6 (5th)
2011-12 NBA 8.5 (3rd)
2012-13 NBA 13.6 (2nd)
2013-14 NBA 14.8 (1st)
2015-16 NBA 11.0 (2nd)
2016-17 NBA 7.0 (4th)
Active 83.9 (6th)
Career NBA 83.9 (33rd)
Career 83.9 (38th)
