Player Efficiency Rating
2009-10 NBA 26.2 (3rd)
2010-11 NBA 23.6 (7th)
2011-12 NBA 26.2 (4th)
2012-13 NBA 28.3 (2nd)
2013-14 NBA 29.8 (1st)
2015-16 NBA 28.2 (2nd)
2016-17 NBA 27.8 (3rd)
Active 25.2 (3rd)
Career NBA 25.2 (8th)
Career 25.2 (8th)
