Defensive Win Shares
2009-10 NBA 5.0 (5th)
2011-12 NBA 3.7 (9th)
2012-13 NBA 5.3 (3rd)
2013-14 NBA 4.4 (10th)
2016-17 NBA 3.2 (5th)
