Player,Sim,1,2,3,4,5,6,7,8,9
Kevin Durant,,19.2,18.9,16.1,14.5,12.2,12.0,7.9,4.8,2.3
Julius Erving,87.2,17.7,17.6,16.5,13.3,12.5,11.5,9.8,9.1,7.9
Dirk Nowitzki,85.8,17.7,16.3,16.1,15.6,14.6,13.4,11.5,8.1,0.8
Karl Malone,84.5,15.9,15.5,15.4,15.2,15.1,13.4,10.1,6.9,1.9
Kevin Garnett,84.4,18.3,15.6,12.8,11.8,11.6,9.6,7.3,5.4,4.4
Charles Barkley,84.2,17.3,16.7,16.1,14.4,13.4,12.3,12.0,10.8,7.5
LeBron James,81.5,20.3,18.5,16.3,15.6,15.2,14.5,14.3,13.7,5.1
Tim Duncan,80.1,17.8,16.5,13.2,13.1,13.0,12.8,11.2,10.8,8.7
Adrian Dantley,76.9,14.6,13.6,12.6,12.2,10.5,9.8,8.0,5.7,4.3
Larry Bird,76.5,15.8,15.7,15.2,15.0,14.0,13.6,12.5,11.2,10.8
Paul Arizin,76.1,16.0,13.7,13.0,12.3,12.2,9.7,9.2,8.7,7.7
