Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Kevin Durant,,19.2,18.9,16.1,14.5,12.2,12.0,7.9,4.8,2.3,,,,,,,,,,,,
Paul Arizin,72.7,16.0,13.7,13.0,12.3,12.2,9.7,9.2,8.7,7.7,6.3,,,,,,,,,,,
Bob Pettit,67.2,14.9,14.9,14.8,14.3,13.8,11.6,11.5,11.5,11.0,10.7,7.1,,,,,,,,,,
Larry Bird,66.9,15.8,15.7,15.2,15.0,14.0,13.6,12.5,11.2,10.8,9.5,6.6,5.5,0.5,,,,,,,,
Connie Hawkins,66.8,17.9,11.3,10.2,9.6,8.6,7.5,7.1,3.5,1.1,,,,,,,,,,,,
Marques Johnson,65.4,12.2,11.5,11.2,10.7,10.6,8.6,6.2,5.9,2.7,0.1,0.0,,,,,,,,,,
Tracy McGrady,65.4,16.1,12.2,12.0,11.5,8.6,8.4,6.6,5.8,4.1,3.3,2.7,2.1,2.0,1.6,0.3,,,,,,
Charles Barkley,63.2,17.3,16.7,16.1,14.4,13.4,12.3,12.0,10.8,10.6,10.5,9.4,8.8,8.6,7.5,6.8,1.9,,,,,
Shawn Marion,62.6,14.6,13.0,12.5,12.0,11.7,9.8,9.1,7.4,5.6,5.3,5.2,5.0,4.3,4.1,3.7,1.7,,,,,
Julius Erving,62.5,17.7,17.6,16.5,13.8,13.3,13.3,12.5,11.5,10.9,10.1,9.8,9.1,7.9,7.6,5.9,3.5,,,,,
Kevin Garnett,62.1,18.3,16.1,15.6,14.9,12.9,12.8,11.8,11.6,10.7,9.6,9.0,7.3,7.3,7.1,6.9,5.6,5.4,4.4,1.9,1.2,1.1
