Minutes Per Game
2008-09 NBA 39.0 (5th)
2009-10 NBA 39.5 (4th)
2010-11 NBA 38.9 (5th)
2011-12 NBA 38.6 (3rd)
2012-13 NBA 38.5 (4th)
2013-14 NBA 38.5 (3rd)
2015-16 NBA 35.8 (9th)
Active 37.5 (2nd)
Career NBA 37.5 (21st)
Career 37.5 (21st)
