Free Throw Pct
2009-10 NBA .900 (6th)
2010-11 NBA .880 (10th)
2012-13 NBA .905 (1st)
2013-14 NBA .873 (7th)
2015-16 NBA .898 (3rd)
Active .882 (3rd)
Career NBA .882 (14th)
Career .882 (14th)
