Value Over Replacement Player
2009-10 NBA 5.8 (3rd)
2011-12 NBA 4.6 (3rd)
2012-13 NBA 7.6 (2nd)
2013-14 NBA 8.5 (1st)
2015-16 NBA 6.4 (5th)
2016-17 NBA 4.5 (3rd)
Active 46.2 (9th)
Career NBA 46.2 (33rd)
Career 46.2 (35th)
