Points Per Game
2008-09 NBA 25.3 (6th)
2009-10 NBA 30.1 (1st)
2010-11 NBA 27.7 (1st)
2011-12 NBA 28.0 (1st)
2012-13 NBA 28.1 (2nd)
2013-14 NBA 32.0 (1st)
2015-16 NBA 28.2 (3rd)
2016-17 NBA 26.1 (7th)
Active 27.3 (1st)
Career NBA 27.3 (4th)
Career 27.3 (4th)
