Field Goals Missed
2007-08 NBA 779 (9th)
2008-09 NBA 729 (8th)
2009-10 NBA 874 (1st)
2010-11 NBA 827 (4th)
2011-12 NBA 654 (3rd)
2013-14 NBA 839 (2nd)
