Offensive Box Plus/Minus
2009-10 NBA 4.9 (7th)
2011-12 NBA 4.7 (9th)
2012-13 NBA 6.2 (4th)
2013-14 NBA 8.4 (1st)
2015-16 NBA 7.0 (5th)
Active 4.8 (6th)
Career NBA 4.8 (9th)
Career 4.8 (9th)
