True Shooting Pct
2011-12 NBA .610 (6th)
2012-13 NBA .647 (2nd)
2013-14 NBA .635 (3rd)
2014-15 NBA .633 (5th)
2015-16 NBA .634 (2nd)
2016-17 NBA .653 (4th)
Active .608 (3rd)
Career NBA .608 (11th)
Career .608 (12th)
