Free Throw Attempts
2008-09 NBA 524 (10th)
2009-10 NBA 840 (1st)
2010-11 NBA 675 (3rd)
2011-12 NBA 501 (3rd)
2012-13 NBA 750 (2nd)
2013-14 NBA 805 (1st)
2015-16 NBA 498 (10th)
Active 5533 (10th)
Career NBA 5533 (61st)
Career 5533 (66th)
