Steals Per Game
1992-93 NBA 2.2 (9th)
1993-94 NBA 2.3 (7th)
1994-95 NBA 2.5 (3rd)
1995-96 NBA 2.9 (1st)
1996-97 NBA 2.4 (3rd)
1997-98 NBA 2.3 (4th)
1998-99 NBA 2.2 (7th)
1999-00 NBA 1.9 (8th)
Career NBA 1.8 (25th)
Career 1.8 (29th)
