Offensive Box Plus/Minus
1994-95 NBA 4.7 (7th)
1996-97 NBA 5.1 (9th)
1997-98 NBA 4.9 (4th)
1998-99 NBA 6.3 (1st)
1999-00 NBA 6.7 (1st)
2000-01 NBA 5.4 (6th)
2001-02 NBA 5.2 (5th)
Career NBA 3.3 (38th)
Career 3.3 (37th)
