2-Pt Field Goals
1994-95 NBA 615 (6th)
1996-97 NBA 587 (9th)
2001-02 NBA 663 (4th)
2002-03 NBA 611 (10th)
Career NBA 7576 (32nd)
Career 7576 (36th)
