Offensive Win Shares
1994-95 NBA 8.2 (8th)
1996-97 NBA 8.2 (9th)
1997-98 NBA 8.5 (4th)
1998-99 NBA 6.0 (3rd)
1999-00 NBA 10.5 (3rd)
2000-01 NBA 9.1 (7th)
2001-02 NBA 10.1 (3rd)
Career NBA 96.7 (24th)
Career 96.7 (27th)
