Field Goal Attempts
1994-95 NBA 1345 (10th)
1996-97 NBA 1482 (6th)
1998-99 NBA 923 (2nd)
1999-00 NBA 1666 (3rd)
2000-01 NBA 1591 (8th)
2001-02 NBA 1578 (6th)
Career NBA 18698 (26th)
Career 18698 (30th)
