Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Gary Payton,,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,5.4,4.1,3.9,3.4,1.3
Clyde Drexler,92.7,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.8,6.7,6.7,6.0,2.4,,
Steve Nash,89.7,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3.0,1.0,0.7
Reggie Miller,87.5,12.5,12.3,12.1,12.0,11.7,11.4,11.3,11.0,10.3,10.3,10.1,9.5,8.9,7.4,6.5,6.4,4.2
Ray Allen,87.4,13.7,11.1,10.7,10.1,10.0,9.7,9.5,9.1,8.9,7.9,7.0,6.9,6.3,5.4,5.2,4.9,4.7
Kobe Bryant,85.9,15.3,14.9,13.8,13.0,12.7,12.7,11.3,10.9,10.7,10.6,10.3,9.4,8.1,6.3,6.2,5.2,1.8
Chauncey Billups,85.2,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8.0,7.6,3.7,3.0,2.3,1.7,1.3,0.1,-0.3
George Gervin,83.0,12.0,11.4,10.7,10.6,10.5,10.5,10.0,9.4,9.3,7.3,5.5,4.6,3.0,1.6,,,
Dwyane Wade,80.2,14.7,14.4,13.0,12.8,11.0,9.6,8.8,7.7,5.5,4.9,4.6,3.5,3.3,,,,
Jerry West,79.8,17.1,16.7,15.2,14.0,13.3,12.9,12.8,11.7,10.8,10.6,9.6,8.1,6.6,3.2,,,
Jason Kidd,79.0,11.3,10.1,9.6,9.3,8.9,8.9,8.5,8.5,8.1,8.0,7.2,7.2,6.4,5.9,4.4,4.3,3.7
