MVP Award Shares
1993-94 NBA 0.020 (6)
1994-95 NBA 0.032 (9)
1995-96 NBA 0.087 (6)
1996-97 NBA 0.091 (6)
1997-98 NBA 0.372 (3)
1998-99 NBA 0.030 (9)
1999-00 NBA 0.149 (6)
2001-02 NBA 0.043 (6)
Career 0.823 (40)
