Player Efficiency Rating
1996-97 NBA 21.8 (9th)
1997-98 NBA 21.6 (9th)
1998-99 NBA 23.1 (10th)
1999-00 NBA 23.6 (8th)
2001-02 NBA 22.9 (9th)
