Assists Per Game
1995-96 NBA 7.5 (10th)
1997-98 NBA 8.3 (7th)
1998-99 NBA 8.7 (4th)
1999-00 NBA 8.9 (4th)
2000-01 NBA 8.1 (5th)
2001-02 NBA 9.0 (3rd)
2002-03 NBA 8.3 (3rd)
Career NBA 6.7 (32nd)
Career 6.7 (32nd)
