Field Goals Missed
1996-97 NBA 776 (10th)
1998-99 NBA 522 (2nd)
1999-00 NBA 919 (2nd)
2000-01 NBA 866 (7th)
2001-02 NBA 841 (7th)
Career NBA 9990 (25th)
Career 9990 (30th)
