Player,Sim,1,2,3
Darnell Jackson,,0.8,0.7,-0.3
Jay Miller,88.2,0.9,0.7,-0.3
Antonio Lang,86.9,0.8,0.7,-0.1
Luke Babbitt,76.6,0.7,0.7,-0.4
Darius Miller,72.7,0.8,0.5,-0.1
Bob Thornton,68.4,0.9,0.4,-0.3
Michael Ruffin,68.4,1.0,0.6,0.0
Dontonio Wingfield,66.4,0.9,0.9,0.0
Walter Piatkowski,66.0,1.2,0.8,-0.2
Alec Kessler,63.2,1.2,0.8,-0.1
Ansu Sesay,62.8,0.8,0.5,-0.1
