Points Per Game
1997-98 NBA 21.9 (9th)
1999-00 NBA 24.5 (6th)
2000-01 NBA 27.1 (6th)
2002-03 NBA 23.0 (8th)
Career NBA 20.7 (46th)
Career 20.7 (49th)
