Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,23,WSB,NBA,PF,1,0,14:00,1,4,.250,0,0,,0,0,,1,4,3,1,0,3,3,2
1999-00,26,SAC,NBA,PF,1,0,13:00,3,10,.300,0,0,,0,0,,3,8,3,1,0,2,2,6
2000-01,27,SAC,NBA,PF,1,1,29:00,6,14,.429,0,1,.000,2,4,.500,4,9,3,1,0,1,2,14
2001-02,28,SAC,NBA,PF,1,1,20:00,3,7,.429,1,2,.500,1,4,.250,3,3,4,1,0,2,2,8
2002-03,29,SAC,NBA,PF,,,,,,,,,,,,,,,,,,,,
