2-Pt Field Goals
1998-99 NBA 374 (9th)
1999-00 NBA 721 (4th)
2000-01 NBA 784 (2nd)
2002-03 NBA 656 (7th)
Career NBA 6928 (51st)
Career 6928 (53rd)
