Rebounds Per Game
1996-97 NBA 10.3 (6th)
1998-99 NBA 13.0 (1st)
1999-00 NBA 10.5 (5th)
2000-01 NBA 11.1 (7th)
2005-06 NBA 9.9 (8th)
Career NBA 9.8 (54th)
Career 9.8 (63rd)
