2-Pt Field Goal Attempts
1998-99 NBA 744 (9th)
1999-00 NBA 1453 (5th)
2000-01 NBA 1607 (1st)
2002-03 NBA 1412 (4th)
2004-05 NBA 1239 (7th)
2005-06 NBA 1345 (6th)
Career NBA 14141 (55th)
Career 14141 (60th)
