Minutes Per Game
1994-95 NBA 38.3 (9th)
1997-98 NBA 39.6 (10th)
1998-99 NBA 40.9 (4th)
2000-01 NBA 40.5 (10th)
Career NBA 37.1 (26th)
Career 37.1 (27th)
