MVP Award Shares
1998-99 NBA 0.043 (7)
1999-00 NBA 0.079 (9)
2000-01 NBA 0.420 (4)
2001-02 NBA 0.029 (7)
2002-03 NBA 0.016 (10)
Career 0.588 (51)
