Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2007-08,19,DUKE,34,,70,150,22,57,40,52,,52,45,18,5,49,,202,.467,.386,.769,,5.9,1.5,1.3
2008-09,20,DUKE,34,,98,230,27,78,62,73,,74,58,32,2,55,,285,.426,.346,.849,,8.4,2.2,1.7
2009-10,21,DUKE,38,1349,240,543,60,153,122,159,35,106,114,47,9,70,67,662,.442,.392,.767,35.5,17.4,2.8,3.0
2010-11,22,DUKE,37,1259,260,568,57,163,187,230,44,166,189,45,3,118,72,764,.458,.350,.813,34.0,20.6,4.5,5.1
