Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2011-12,23,POR,NBA,PG,44,541,.372,13.4,.750,.250,.178,.111,.211,.250,.400,.533,.281,.350,.368,.289,.370,.006,1,.846,.311,.143,1,0
2012-13,24,POR,NBA,PG,40,288,.368,13.6,.754,.211,.193,.123,.228,.246,.419,.625,.409,.286,.308,.214,.194,.018,1,1.000,.357,.400,0,0
