Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Marvin Williams,,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3,,,
Jeff Foster,91.8,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4,
Amir Johnson,91.1,7.3,6.3,5.9,5.6,5.1,4.5,4.0,3.0,2.7,0.5,0.2,,,
Wayman Tisdale,90.8,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2.0,1.8,1.7,-0.6,,
Junior Bridgeman,89.8,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,,
Josh Smith,89.8,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0.0,,
Orlando Woolridge,89.2,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,
Caron Butler,89.2,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2,0.3
Cliff Levingston,89.0,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,,
James Posey,88.5,10.0,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1.0,,
Purvis Short,88.4,6.2,6.0,5.7,5.4,5.2,5.0,4.4,3.7,3.3,2.6,2.2,1.4,,
