Player,Sim,1,2,3,4,5,6,7
Trey Burke,,2.4,2.1,0.9,,,,
Tex Ritter,95.3,2.4,2.3,1.0,,,,
Maurice McHartley,92.3,2.4,1.8,0.8,,,,
Hollis Thompson,90.0,2.6,2.0,1.2,,,,
James Robinson,84.6,2.3,1.9,1.2,0.2,0.2,0.0,-0.1
Louie Nelson,83.7,2.9,2.3,1.1,0.0,0.0,,
Kenny Higgs,83.6,2.2,1.5,1.0,,,,
Chris Quinn,82.5,2.6,2.1,0.6,0.1,0.1,-0.2,
Dick Garrett,82.5,2.4,2.3,1.6,0.1,-0.2,,
Tom Garrick,80.2,2.5,1.8,1.4,0.2,,,
Tony Snell,80.0,2.4,1.6,0.4,,,,
