Player,Sim,1,2,3,4,5,6,7,8
Daequan Cook,,2.2,1.6,1.6,0.1,-0.2,-0.4,,
Gary Brokaw,86.2,1.9,1.6,1.6,0.1,,,,
Tom Garrick,77.5,2.5,1.8,1.4,0.2,,,,
Dick Garrett,75.7,2.4,2.3,1.6,0.1,-0.2,,,
Kenny Higgs,74.5,2.2,1.5,1.0,,,,,
Leon Wood,72.6,2.2,2.0,1.9,0.6,0.3,-0.2,,
James Robinson,71.6,2.3,1.9,1.2,0.2,0.2,0.0,-0.1,
Dave Wohl,69.9,2.1,1.7,1.4,1.0,0.2,0.0,-0.2,
Anthony Goldwire,69.7,3.0,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Joe Hassett,69.4,2.0,1.6,1.4,0.9,0.5,0.0,,
Garrett Temple,69.2,2.7,1.5,1.2,0.4,0.3,-0.4,,
