Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2001-02,19,FLORIDA,30,615,71,169,20,69,20,40,,86,51,27,17,,,182,.420,.290,.500,20.5,6.1,2.9,1.7
2003-04,21,CINCY,27,677,71,185,15,63,57,71,,109,96,24,18,,,214,.384,.238,.803,25.1,7.9,4.0,3.6
2004-05,22,CINCY,33,940,109,246,36,94,83,104,,158,102,30,12,,,337,.443,.383,.798,28.5,10.2,4.8,3.1
2005-06,23,CINCY,33,1104,177,363,49,131,134,160,,167,67,36,28,,,537,.488,.374,.838,33.5,16.3,5.1,2.0
