Season,Team,Lg,Salary
2009-10,Charlotte Bobcats,NBA,"$1,957,080"
2010-11,Charlotte Bobcats,NBA,"$2,103,840"
2011-12,Charlotte Bobcats,NBA,"$2,250,600"
2012-13,Charlotte Bobcats,NBA,"$3,101,327"
2013-14,Charlotte Bobcats,NBA,"$6,000,000"
2014-15,Charlotte Hornets,NBA,"$6,000,000"
2015-16,Portland Trail Blazers,NBA,"$6,000,000"
