Player,Sim,1,2,3,4,5,6,7
Gerald Henderson,,3.6,3.6,3.3,2.4,2.0,1.0,0.4
Darrell Griffith,93.6,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Mickael Pietrus,91.9,3.6,3.6,3.0,2.8,2.1,1.5,0.6
Rod Thorn,91.6,3.5,3.4,2.9,2.3,2.1,1.4,0.1
Billy McKinney,89.2,3.4,3.3,3.0,2.7,2.3,0.9,0.1
Dell Curry,88.2,3.4,3.2,2.7,2.0,1.8,0.9,0.5
Daniel Gibson,88.2,4.1,3.8,2.6,2.4,2.0,0.5,0.5
Randy Foye,87.7,3.7,3.2,3.1,2.3,2.2,1.7,1.1
Chico Vaughn,87.0,4.9,3.4,3.4,2.3,2.3,0.8,0.4
Kelvin Ransey,86.8,3.8,3.7,3.4,2.8,2.2,2.0,
Greg Buckner,85.6,4.8,3.8,3.1,2.3,2.0,1.8,0.3
