Player,Sim,1,2,3,4
Miles Plumlee,,4.0,2.6,2.2,0.0
Bryant Reeves,86.7,4.9,2.4,2.3,-0.1
Jake Voskuhl,86.4,3.3,2.7,2.5,0.0
Rasho Nesterovic,86.4,4.1,3.0,1.5,0.0
Randy Breuer,86.1,4.5,3.0,2.4,0.3
Len Elmore,85.7,3.4,2.2,2.1,0.0
Tony Battie,84.6,3.8,3.3,2.3,0.5
Blair Rasmussen,83.3,4.2,3.3,1.8,-0.1
Otto Moore,83.0,3.5,2.4,2.3,0.9
Reggie Harding,80.8,3.1,2.6,1.6,0.0
Lee Knorek,80.6,5.1,2.5,1.7,0.0
