Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,935,27775,,,1%,90%,9%,+2.8,+3.3,568,457,518,1132,7,295,15,4847,1276,314,674
8 seasons,,"NOK,NOH",NBA,,530,17160,,,1%,92%,7%,+0.4,+2.5,309,293,329,759,0,171,0,2477,875,214,443
4 seasons,,IND,NBA,,285,8727,,,,98%,2%,+5.5,+5.8,222,131,150,266,7,100,9,1856,344,81,196
1 season,,SAS,NBA,,78,1404,,,1%,50%,49%,+11.8,+0.4,30,14,23,74,0,13,5,326,40,16,27
1 season,,GSW,NBA,,42,484,,,,6%,94%,+11.1,-2.6,7,19,16,33,0,11,1,188,17,3,8
