Player,Sim,1,2,3,4,5,6,7
James Johnson,,4.1,3.0,2.6,1.3,0.8,0.6,-0.5
Mike Sanders,88.2,3.9,3.1,2.7,1.2,0.8,0.8,0.6
Dave Budd,87.5,4.1,3.2,2.3,1.2,0.9,,
Jason Caffey,82.9,3.9,3.5,2.7,1.6,0.5,0.4,0.3
Andray Blatche,82.5,3.4,3.0,2.4,1.4,0.5,0.1,-0.1
Brian Skinner,81.8,4.1,2.7,1.9,1.9,0.9,0.3,0.1
Maurice Taylor,81.8,3.7,3.2,1.8,0.9,0.7,0.5,-0.3
Stacey King,81.5,3.6,3.1,1.9,1.5,0.9,0.1,-0.2
James Jones,81.4,4.0,3.7,2.5,2.2,1.0,0.9,0.0
Don Ford,81.2,3.5,2.8,2.5,2.0,1.5,0.6,-0.1
Duane Ferrell,80.7,3.5,3.2,2.8,1.9,1.2,0.4,-0.1
