Player,Sim,1,2,3,4,5,6,7,8,9,10
James Johnson,,4.1,3.0,2.6,1.3,0.8,0.6,-0.5,,,
Dave Budd,87.5,4.1,3.2,2.3,1.2,0.9,,,,,
Walter McCarty,84.7,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0.0,0.0,-0.2
Jason Caffey,81.6,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,,
Don Ford,81.2,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,,,
George Johnson,80.6,3.8,3.2,2.5,2.2,1.0,0.7,0.6,0.0,,
Lavoy Allen,80.4,3.7,2.8,2.5,1.6,1.5,,,,,
Marv Roberts,80.3,4.3,3.4,2.4,1.2,0.4,-0.2,,,,
Reggie Johnson,80.2,3.9,3.0,2.4,1.6,,,,,,
Linas Kleiza,80.0,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,,,
Dwight Davis,80.0,3.7,3.3,2.3,1.5,0.6,,,,,
