Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,IND,NBA,PG,5,0,80,13,35,.371,7,16,.438,6,19,.316,.471,9,10,.900,2,5,7,6,3,0,7,5,42
2011-12,25,IND,NBA,PG,4,0,7,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,1,2,1,0,0,0,0,2
