Player,Sim,1,2,3,4,5,6
A.J. Price,,2.2,1.2,0.7,0.3,0.3,0.0
Mike Holton,87.6,2.3,1.3,0.8,0.3,0.2,-0.2
Courtney Alexander,85.8,2.2,1.1,0.8,,,
Anthony Johnson,84.7,1.8,1.1,0.7,0.4,0.3,-0.2
Mike Davis,83.9,2.2,1.2,0.9,0.6,,
Mo Layton,79.8,1.9,1.1,1.0,0.3,0.1,
Kevin O'Shea,78.4,2.1,1.2,0.5,,,
Chris Douglas-Roberts,78.0,2.4,1.6,0.7,0.6,0.1,0.0
Dion Glover,77.8,2.6,1.1,0.9,0.8,0.3,0.2
Chink Crossin,76.8,2.1,1.2,0.5,,,
Bo Lamar,76.2,2.5,1.5,1.0,0.5,,
