Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Charlie Bell,,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,,,,
Al Skinner,87.5,4.9,3.3,2.1,1.8,1.2,0.0,,,,,,
Devin Brown,85.7,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,,,,
Jaren Jackson,83.6,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1
Whitey Skoog,83.0,4.1,3.6,2.9,1.9,1.0,0.7,,,,,,
Greivis Vasquez,82.0,3.8,3.6,2.8,2.3,0.5,-0.3,,,,,,
Toney Douglas,81.4,4.2,2.5,2.4,2.2,0.9,0.2,-0.6,,,,,
Sonny Hertzberg,80.6,4.0,2.5,2.3,1.4,0.7,,,,,,,
Joe Hamilton,80.5,4.1,2.9,2.9,2.2,0.2,0.2,,,,,,
Charlie Criss,80.4,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,,,,
Geoff Huston,80.2,3.4,3.0,2.6,1.8,1.7,0.0,-0.3,-0.4,,,,
