Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,8,0,116,8.0,21.1,.378,2.3,5.6,.417,5.6,15.5,.364,3.3,3.3,1.000,0.9,0.5,1.4,3.3,1.4,0.9,1.9,8.0,21.5,,100,124
2 seasons,,MIL,NBA,,8,0,116,8.0,21.1,.378,2.3,5.6,.417,5.6,15.5,.364,3.3,3.3,1.000,0.9,0.5,1.4,3.3,1.4,0.9,1.9,8.0,21.5,,100,124
