Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2007-08,19,PHI,NBA,PF,74,1554,,,20%,79%,1%,+6.8,+11.1,16,25,23,63,,8,,130,50,14,35
2008-09,20,PHI,NBA,PF,75,2580,,,34%,66%,,+3.1,+9.3,28,42,48,64,,16,,184,87,22,54
2009-10,21,PHI,NBA,PF,67,2145,,,31%,69%,,-4.1,+1.5,42,38,46,63,,10,,226,73,17,52
2010-11,22,PHI,NBA,PF,82,2135,,,6%,90%,3%,+5.0,+7.1,23,42,34,82,,17,,188,93,33,48
2011-12,23,PHI,NBA,PF,63,1755,,,,97%,3%,+8.4,+8.0,17,20,18,62,,10,,163,72,15,56
2012-13,24,PHI,NBA,PF,76,2629,,,,97%,3%,-0.4,+9.7,36,39,15,99,,7,2,283,91,18,50
2013-14,25,PHI,NBA,PF,79,2718,,,,98%,2%,-12.0,-4.1,63,62,40,99,3,22,0,407,110,27,83
2014-15,26,TOT,NBA,PF,76,2434,,,5%,94%,1%,+0.6,+4.7,49,49,19,0,0,0,0,385,0,14,68
2014-15,26,MIN,NBA,PF,48,1605,,,7%,92%,1%,-6.6,+5.0,29,35,11,51,7,7,1,299,53,7,43
2014-15,26,BRK,NBA,PF,28,829,,,,99%,,+0.6,+4.7,20,14,8,33,2,3,0,86,33,7,25
2015-16,27,BRK,NBA,PF,73,2407,,,,99%,1%,-4.8,+7.1,43,63,30,74,10,15,2,311,66,8,77
2016-17,28,IND,NBA,PF,48,1502,,,1%,99%,,+0.9,+4.2,12,47,13,37,10,7,2,183,24,7,28
